ProviderID,INP_LOS_mean,INP_LOS_max,INP_LOS_min,INP_InscClaimAmtReimbursed_mean,INP_InscClaimAmtReimbursed_sum,INP_ClaimID_count,OUT_InscClaimAmtReimbursed_mean,OUT_InscClaimAmtReimbursed_sum,OUT_ClaimID_count,PotentialFraud
PRV51041,0.0,0.0,0.0,0.0,0.0,0.0,217.94117647058823,7410.0,34.0,No
PRV51042,0.0,0.0,0.0,0.0,0.0,0.0,338.38028169014086,48050.0,142.0,No
PRV51043,0.0,0.0,0.0,0.0,0.0,0.0,194.7826086956522,4480.0,23.0,No
PRV51044,0.0,0.0,0.0,0.0,0.0,0.0,361.52542372881356,21330.0,59.0,No
PRV51045,0.0,0.0,0.0,0.0,0.0,0.0,270.64516129032256,8390.0,31.0,No
PRV51046,4.5,9.0,1.0,12625.0,101000.0,8.0,279.0,8370.0,30.0,No
PRV51047,0.0,0.0,0.0,0.0,0.0,0.0,230.0,2530.0,11.0,No
PRV51048,4.75,10.0,1.0,4750.0,19000.0,4.0,255.88235294117646,8700.0,34.0,No
PRV51049,0.0,0.0,0.0,0.0,0.0,0.0,305.9154929577465,21720.0,71.0,No
PRV51052,9.0,14.0,4.0,7000.0,14000.0,2.0,381.8181818181818,16800.0,44.0,Yes
PRV51053,5.0,5.0,5.0,8000.0,8000.0,1.0,0.0,0.0,0.0,No
PRV51054,0.0,0.0,0.0,0.0,0.0,0.0,265.43859649122805,15130.0,57.0,No
PRV51055,5.5,6.0,5.0,8350.0,16700.0,2.0,247.0,4940.0,20.0,No
PRV51056,3.0,5.0,1.0,4000.0,8000.0,2.0,335.0,6700.0,20.0,No
PRV51057,0.0,0.0,0.0,0.0,0.0,0.0,1366.0,6830.0,5.0,No
PRV51058,7.4,16.0,1.0,18200.0,91000.0,5.0,205.51282051282053,16030.0,78.0,No
PRV51059,6.88,35.0,1.0,16040.0,401000.0,25.0,282.53521126760563,20060.0,71.0,Yes
PRV51060,4.8,9.0,0.0,7000.0,35000.0,5.0,235.40540540540542,8710.0,37.0,No
PRV51061,8.0,8.0,8.0,3000.0,3000.0,1.0,360.69444444444446,51940.0,144.0,No
PRV51062,4.333333333333333,6.0,2.0,15000.0,45000.0,3.0,275.0761421319797,108380.0,394.0,No
PRV51063,0.0,0.0,0.0,0.0,0.0,0.0,343.02013422818794,51110.0,149.0,No
PRV51064,5.305555555555555,29.0,0.0,7777.777777777777,280000.0,36.0,300.8239700374532,80320.0,267.0,Yes
PRV51065,5.6,17.0,1.0,7500.0,75000.0,10.0,87.22222222222223,1570.0,18.0,No
PRV51066,2.0,3.0,1.0,9500.0,19000.0,2.0,263.1818181818182,5790.0,22.0,No
PRV51067,6.583333333333333,23.0,0.0,27166.666666666668,326000.0,12.0,185.2173913043478,8520.0,46.0,Yes
PRV51068,3.0,6.0,1.0,8555.555555555555,77000.0,9.0,262.93650793650795,66260.0,252.0,No
PRV51070,4.1,15.0,1.0,10100.0,101000.0,10.0,274.2696629213483,24410.0,89.0,No
PRV51071,0.0,0.0,0.0,0.0,0.0,0.0,356.25,8550.0,24.0,No
PRV51072,4.25,13.0,1.0,6000.0,72000.0,12.0,235.85,47170.0,200.0,No
PRV51074,2.6,4.0,1.0,6200.0,31000.0,5.0,299.11764705882354,10170.0,34.0,No
PRV51075,0.0,0.0,0.0,0.0,0.0,0.0,502.94117647058823,8550.0,17.0,No
PRV51076,0.0,0.0,0.0,0.0,0.0,0.0,352.7586206896552,10230.0,29.0,No
PRV51077,5.9375,19.0,1.0,12437.5,199000.0,16.0,314.70588235294116,5350.0,17.0,Yes
PRV51078,6.666666666666667,21.0,0.0,8444.444444444445,76000.0,9.0,162.14285714285714,2270.0,14.0,No
PRV51081,6.0,10.0,3.0,13166.666666666666,79000.0,6.0,232.37113402061857,45080.0,194.0,No
PRV51082,0.0,0.0,0.0,0.0,0.0,0.0,160.88235294117646,5470.0,34.0,No
PRV51083,0.0,0.0,0.0,0.0,0.0,0.0,201.11111111111111,18100.0,90.0,No
PRV51084,5.65,28.0,0.0,9550.0,191000.0,20.0,273.1111111111111,24580.0,90.0,Yes
PRV51086,4.838709677419355,11.0,0.0,13322.58064516129,413000.0,31.0,307.1296296296296,33170.0,108.0,No
PRV51089,5.166666666666667,14.0,1.0,9833.333333333334,177000.0,18.0,256.6666666666667,53900.0,210.0,No
PRV51090,0.0,0.0,0.0,0.0,0.0,0.0,832.8571428571429,5830.0,7.0,No
PRV51091,0.0,0.0,0.0,0.0,0.0,0.0,210.6818181818182,9270.0,44.0,No
PRV51093,6.0,11.0,1.0,5500.0,11000.0,2.0,387.14285714285717,2710.0,7.0,No
PRV51096,0.0,0.0,0.0,0.0,0.0,0.0,640.0,3200.0,5.0,No
PRV51097,0.0,0.0,0.0,0.0,0.0,0.0,355.36,44420.0,125.0,No
PRV51098,0.0,0.0,0.0,0.0,0.0,0.0,75.0,300.0,4.0,No
PRV51100,6.0,9.0,3.0,15600.0,78000.0,5.0,0.0,0.0,0.0,No
PRV51101,3.3333333333333335,6.0,1.0,5533.333333333333,16600.0,3.0,0.0,0.0,0.0,No
PRV51102,4.0,10.0,1.0,12333.333333333334,148000.0,12.0,0.0,0.0,0.0,No
PRV51103,0.0,0.0,0.0,0.0,0.0,0.0,73.33333333333333,440.0,6.0,Yes
PRV51104,0.0,0.0,0.0,0.0,0.0,0.0,158.33333333333334,1900.0,12.0,No
PRV51105,0.0,0.0,0.0,0.0,0.0,0.0,545.0,6540.0,12.0,No
PRV51108,5.2631578947368425,16.0,1.0,8210.526315789473,156000.0,19.0,0.0,0.0,0.0,No
PRV51109,6.333333333333333,9.0,3.0,6000.0,18000.0,3.0,0.0,0.0,0.0,No
PRV51110,10.2,28.0,1.0,5400.0,27000.0,5.0,0.0,0.0,0.0,No
PRV51111,0.0,0.0,0.0,0.0,0.0,0.0,415.6060606060606,54860.0,132.0,No
PRV51112,0.0,0.0,0.0,0.0,0.0,0.0,346.2171052631579,105250.0,304.0,No
PRV51113,0.0,0.0,0.0,0.0,0.0,0.0,351.43939393939394,46390.0,132.0,No
PRV51114,0.0,0.0,0.0,0.0,0.0,0.0,292.82442748091603,76720.0,262.0,No
PRV51115,0.0,0.0,0.0,0.0,0.0,0.0,140.0,980.0,7.0,No
PRV51117,0.0,0.0,0.0,0.0,0.0,0.0,162.5,1950.0,12.0,No
PRV51118,4.25,13.0,1.0,8500.0,136000.0,16.0,0.0,0.0,0.0,No
PRV51119,5.9787234042553195,35.0,0.0,10478.72340425532,985000.0,94.0,95580.0,95580.0,1.0,Yes
PRV51120,4.142857142857143,6.0,2.0,7428.571428571428,52000.0,7.0,0.0,0.0,0.0,No
PRV51121,6.5,10.0,1.0,13500.0,81000.0,6.0,80.0,80.0,1.0,No
PRV51122,0.0,0.0,0.0,0.0,0.0,0.0,160.0,1120.0,7.0,No
PRV51123,2.5,4.0,1.0,4500.0,9000.0,2.0,617.5862068965517,17910.0,29.0,No
PRV51125,4.333333333333333,11.0,1.0,9166.666666666666,110000.0,12.0,591.9444444444445,21310.0,36.0,No
PRV51126,6.5,28.0,0.0,8850.0,177000.0,20.0,0.0,0.0,0.0,Yes
PRV51128,6.4,12.0,2.0,18000.0,90000.0,5.0,271.55555555555554,12220.0,45.0,No
PRV51129,0.0,0.0,0.0,0.0,0.0,0.0,238.75,22920.0,96.0,No
PRV51130,0.0,0.0,0.0,0.0,0.0,0.0,710.0,4970.0,7.0,No
PRV51131,0.0,0.0,0.0,0.0,0.0,0.0,145.0,1160.0,8.0,No
PRV51132,4.0,4.0,4.0,4000.0,4000.0,1.0,190.0,1330.0,7.0,No
PRV51134,0.0,0.0,0.0,0.0,0.0,0.0,507.3333333333333,7610.0,15.0,No
PRV51135,0.0,0.0,0.0,0.0,0.0,0.0,60.0,300.0,5.0,No
PRV51136,2.0,2.0,2.0,20000.0,20000.0,1.0,0.0,0.0,0.0,No
PRV51137,7.0,7.0,7.0,6000.0,6000.0,1.0,186.11111111111111,10050.0,54.0,No
PRV51138,1.0,1.0,1.0,6000.0,6000.0,1.0,297.2,7430.0,25.0,No
PRV51139,3.857142857142857,8.0,1.0,5900.0,41300.0,7.0,313.3333333333333,11280.0,36.0,No
PRV51140,6.0212765957446805,29.0,1.0,6540.425531914893,307400.0,47.0,331.20454545454544,145730.0,440.0,No
PRV51141,0.0,0.0,0.0,0.0,0.0,0.0,274.50704225352115,19490.0,71.0,No
PRV51142,7.428571428571429,22.0,1.0,13857.142857142857,97000.0,7.0,172.04545454545453,7570.0,44.0,No
PRV51143,0.0,0.0,0.0,0.0,0.0,0.0,265.5844155844156,20450.0,77.0,No
PRV51144,5.0,13.0,2.0,13250.0,53000.0,4.0,316.15384615384613,8220.0,26.0,No
PRV51145,5.937888198757764,35.0,0.0,9941.614906832297,1600600.0,161.0,140.2439024390244,5750.0,41.0,Yes
PRV51146,5.049382716049383,30.0,0.0,9988.888888888889,1618200.0,162.0,330.05263157894734,62710.0,190.0,Yes
PRV51147,0.0,0.0,0.0,0.0,0.0,0.0,276.875,8860.0,32.0,No
PRV51148,4.029411764705882,15.0,0.0,11717.64705882353,398400.0,34.0,304.93243243243245,90260.0,296.0,Yes
PRV51149,5.612068965517241,26.0,0.0,9594.827586206897,1113000.0,116.0,240.0,7680.0,32.0,Yes
PRV51151,4.181818181818182,9.0,1.0,6454.545454545455,142000.0,22.0,281.042654028436,59300.0,211.0,No
PRV51152,0.0,0.0,0.0,0.0,0.0,0.0,310.48192771084337,25770.0,83.0,No
PRV51153,8.75,15.0,2.0,12750.0,51000.0,4.0,246.86746987951807,20490.0,83.0,No
PRV51154,0.0,0.0,0.0,0.0,0.0,0.0,284.16149068322983,45750.0,161.0,No
PRV51155,0.0,0.0,0.0,0.0,0.0,0.0,228.95652173913044,26330.0,115.0,No
PRV51156,0.0,0.0,0.0,0.0,0.0,0.0,259.48339483394835,140640.0,542.0,No
PRV51159,5.630769230769231,35.0,0.0,9779.384615384615,635660.0,65.0,321.68650793650795,162130.0,504.0,Yes
PRV51160,5.655555555555556,30.0,1.0,9622.222222222223,866000.0,90.0,250.83333333333334,6020.0,24.0,No
PRV51164,6.2926829268292686,30.0,1.0,10804.878048780487,443000.0,41.0,325.65714285714284,113980.0,350.0,No
PRV51165,6.576923076923077,35.0,1.0,11769.23076923077,306000.0,26.0,329.1666666666667,23700.0,72.0,No
PRV51166,16.0,16.0,16.0,22000.0,22000.0,1.0,717.5,2870.0,4.0,No
PRV51167,0.0,0.0,0.0,0.0,0.0,0.0,273.57894736842104,51980.0,190.0,No
PRV51168,5.222222222222222,15.0,1.0,7000.0,63000.0,9.0,223.97435897435898,17470.0,78.0,No
PRV51169,0.0,0.0,0.0,0.0,0.0,0.0,251.6883116883117,19380.0,77.0,No
PRV51170,6.25,27.0,1.0,18125.0,145000.0,8.0,102.5,820.0,8.0,Yes
PRV51171,0.0,0.0,0.0,0.0,0.0,0.0,234.23728813559322,13820.0,59.0,No
PRV51173,7.857142857142857,23.0,1.0,12857.142857142857,90000.0,7.0,419.3333333333333,6290.0,15.0,Yes
PRV51175,0.0,0.0,0.0,0.0,0.0,0.0,235.3658536585366,9650.0,41.0,No
PRV51176,0.0,0.0,0.0,0.0,0.0,0.0,328.0449438202247,145980.0,445.0,No
PRV51178,7.970588235294118,35.0,0.0,12411.764705882353,422000.0,34.0,296.1290322580645,9180.0,31.0,Yes
PRV51179,0.0,0.0,0.0,0.0,0.0,0.0,192.30769230769232,5000.0,26.0,No
PRV51180,1.5,2.0,1.0,23500.0,47000.0,2.0,371.9685039370079,47240.0,127.0,No
PRV51181,0.0,0.0,0.0,0.0,0.0,0.0,215.0,2150.0,10.0,No
PRV51183,4.658536585365853,28.0,0.0,8214.634146341463,336800.0,41.0,263.75,18990.0,72.0,No
PRV51185,0.0,0.0,0.0,0.0,0.0,0.0,198.75,1590.0,8.0,No
PRV51186,0.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,2.0,No
PRV51189,0.0,0.0,0.0,0.0,0.0,0.0,156.07142857142858,8740.0,56.0,No
PRV51190,3.6666666666666665,5.0,2.0,8000.0,24000.0,3.0,243.015873015873,15310.0,63.0,No
PRV51191,0.0,0.0,0.0,0.0,0.0,0.0,343.4375,10990.0,32.0,No
PRV51194,3.0,5.0,1.0,9000.0,18000.0,2.0,77.14285714285714,540.0,7.0,No
PRV51196,0.0,0.0,0.0,0.0,0.0,0.0,273.69444444444446,197060.0,720.0,No
PRV51198,0.0,0.0,0.0,0.0,0.0,0.0,60.0,360.0,6.0,No
PRV51200,0.0,0.0,0.0,0.0,0.0,0.0,232.6315789473684,4420.0,19.0,No
PRV51201,0.0,0.0,0.0,0.0,0.0,0.0,236.88888888888889,10660.0,45.0,No
PRV51202,0.0,0.0,0.0,0.0,0.0,0.0,417.5,5010.0,12.0,No
PRV51203,0.0,0.0,0.0,0.0,0.0,0.0,730.4761904761905,15340.0,21.0,No
PRV51204,0.0,0.0,0.0,0.0,0.0,0.0,310.9819639278557,155180.0,499.0,No
PRV51205,0.0,0.0,0.0,0.0,0.0,0.0,466.0,4660.0,10.0,No
PRV51206,0.0,0.0,0.0,0.0,0.0,0.0,156.0,1560.0,10.0,No
PRV51207,14.0,35.0,1.0,17000.0,51000.0,3.0,0.0,0.0,0.0,No
PRV51209,0.0,0.0,0.0,0.0,0.0,0.0,235.95238095238096,9910.0,42.0,No
PRV51210,0.0,0.0,0.0,0.0,0.0,0.0,321.1111111111111,2890.0,9.0,No
PRV51211,0.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,2.0,No
PRV51212,0.0,0.0,0.0,0.0,0.0,0.0,417.3333333333333,6260.0,15.0,No
PRV51213,0.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0,2.0,No
PRV51214,0.0,0.0,0.0,0.0,0.0,0.0,400.0,3200.0,8.0,No
PRV51215,0.0,0.0,0.0,0.0,0.0,0.0,161.0,1610.0,10.0,No
PRV51216,0.0,0.0,0.0,0.0,0.0,0.0,219.1549295774648,15560.0,71.0,No
PRV51217,0.0,0.0,0.0,0.0,0.0,0.0,586.0,2930.0,5.0,No
PRV51218,0.0,0.0,0.0,0.0,0.0,0.0,74.28571428571429,520.0,7.0,No
PRV51219,0.0,0.0,0.0,0.0,0.0,0.0,666.25,5330.0,8.0,No
PRV51221,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,1.0,No
PRV51222,0.0,0.0,0.0,0.0,0.0,0.0,172.0,860.0,5.0,No
PRV51224,0.0,0.0,0.0,0.0,0.0,0.0,447.14285714285717,3130.0,7.0,No
PRV51225,0.0,0.0,0.0,0.0,0.0,0.0,148.75,1190.0,8.0,No
PRV51226,0.0,0.0,0.0,0.0,0.0,0.0,371.5,7430.0,20.0,No
PRV51228,0.0,0.0,0.0,0.0,0.0,0.0,86.0,430.0,5.0,No
PRV51229,0.0,0.0,0.0,0.0,0.0,0.0,264.0425531914894,12410.0,47.0,No
PRV51230,0.0,0.0,0.0,0.0,0.0,0.0,416.3333333333333,12490.0,30.0,No
PRV51231,9.5,17.0,2.0,8000.0,16000.0,2.0,0.0,0.0,0.0,No
PRV51232,9.0,9.0,9.0,26000.0,26000.0,1.0,0.0,0.0,0.0,No
PRV51233,4.333333333333333,6.0,2.0,9000.0,27000.0,3.0,0.0,0.0,0.0,No
PRV51234,8.2,20.0,1.0,5800.0,29000.0,5.0,0.0,0.0,0.0,No
PRV51235,2.5,3.0,2.0,5000.0,10000.0,2.0,0.0,0.0,0.0,No
PRV51236,1.0,1.0,1.0,12000.0,12000.0,1.0,0.0,0.0,0.0,No
PRV51237,1.0,1.0,1.0,19000.0,19000.0,1.0,0.0,0.0,0.0,No
PRV51238,13.625,35.0,2.0,16500.0,132000.0,8.0,0.0,0.0,0.0,No
PRV51239,3.0,3.0,3.0,5000.0,5000.0,1.0,0.0,0.0,0.0,No
PRV51240,5.545454545454546,18.0,0.0,7363.636363636364,81000.0,11.0,265.7142857142857,13020.0,49.0,No
PRV51241,6.8,35.0,1.0,7800.0,78000.0,10.0,244.2,12210.0,50.0,No
PRV51242,5.545454545454546,35.0,0.0,8000.0,88000.0,11.0,292.0,29200.0,100.0,Yes
PRV51243,0.0,0.0,0.0,0.0,0.0,0.0,175.83333333333334,6330.0,36.0,No
PRV51244,5.885,35.0,0.0,8980.5,1796100.0,200.0,294.559670781893,357890.0,1215.0,Yes
PRV51245,2.75,4.0,1.0,5000.0,20000.0,4.0,376.50887573964496,63630.0,169.0,No
PRV51247,3.8,13.0,1.0,7400.0,74000.0,10.0,93.33333333333333,2240.0,24.0,No
PRV51248,6.0,6.0,6.0,23000.0,23000.0,1.0,500.0,500.0,1.0,No
PRV51249,7.294117647058823,35.0,0.0,9921.56862745098,506000.0,51.0,204.4,15330.0,75.0,Yes
PRV51250,0.0,0.0,0.0,0.0,0.0,0.0,265.4117647058824,22560.0,85.0,No
PRV51251,0.0,0.0,0.0,0.0,0.0,0.0,326.3636363636364,3590.0,11.0,No
PRV51252,4.111111111111111,17.0,1.0,7888.888888888889,142000.0,18.0,187.3913043478261,12930.0,69.0,No
PRV51253,0.0,0.0,0.0,0.0,0.0,0.0,255.76470588235293,21740.0,85.0,No
PRV51255,5.0,8.0,2.0,5500.0,11000.0,2.0,410.69444444444446,29570.0,72.0,No
PRV51256,0.0,0.0,0.0,0.0,0.0,0.0,405.7894736842105,38550.0,95.0,No
PRV51258,4.5,7.0,2.0,12250.0,98000.0,8.0,276.6666666666667,1660.0,6.0,No
PRV51259,6.25,15.0,2.0,37500.0,150000.0,4.0,115.29411764705883,1960.0,17.0,No
PRV51260,8.666666666666666,19.0,3.0,26000.0,78000.0,3.0,243.89830508474577,14390.0,59.0,No
PRV51261,5.576923076923077,29.0,1.0,9423.076923076924,245000.0,26.0,216.98275862068965,25170.0,116.0,No
PRV51262,0.0,0.0,0.0,0.0,0.0,0.0,271.1666666666667,16270.0,60.0,No
PRV51263,9.166666666666666,31.0,0.0,11666.666666666666,210000.0,18.0,314.2307692307692,8170.0,26.0,Yes
PRV51264,0.0,0.0,0.0,0.0,0.0,0.0,135.12820512820514,5270.0,39.0,No
PRV51265,0.0,0.0,0.0,0.0,0.0,0.0,286.0625,45770.0,160.0,No
PRV51266,6.9,18.0,1.0,7830.0,78300.0,10.0,300.0,24600.0,82.0,No
PRV51267,3.0,4.0,2.0,4500.0,9000.0,2.0,322.5,3870.0,12.0,No
PRV51271,4.0,7.0,1.0,8500.0,17000.0,2.0,216.36363636363637,26180.0,121.0,No
PRV51272,3.0,4.0,2.0,11000.0,22000.0,2.0,373.5064935064935,28760.0,77.0,No
PRV51273,0.0,0.0,0.0,0.0,0.0,0.0,237.50452079566003,131340.0,553.0,No
PRV51274,3.6,9.0,0.0,16500.0,165000.0,10.0,223.33333333333334,10720.0,48.0,No
PRV51276,4.357142857142857,16.0,1.0,8285.714285714286,116000.0,14.0,339.24528301886795,17980.0,53.0,No
PRV51277,5.0,13.0,1.0,12100.0,121000.0,10.0,412.0408163265306,20190.0,49.0,No
PRV51279,0.0,0.0,0.0,0.0,0.0,0.0,267.14285714285717,59840.0,224.0,No
PRV51280,0.0,0.0,0.0,0.0,0.0,0.0,519.2307692307693,20250.0,39.0,No
PRV51281,0.0,0.0,0.0,0.0,0.0,0.0,345.44401544401546,89470.0,259.0,No
PRV51282,3.625,5.0,2.0,8250.0,66000.0,8.0,222.15686274509804,11330.0,51.0,No
PRV51284,5.764705882352941,21.0,1.0,10705.882352941177,182000.0,17.0,271.8333333333333,97860.0,360.0,No
PRV51285,7.333333333333333,19.0,0.0,10733.333333333334,161000.0,15.0,229.54248366013073,35120.0,153.0,No
PRV51286,5.2,11.0,2.0,9066.666666666666,136000.0,15.0,166.72727272727272,9170.0,55.0,No
PRV51287,0.0,0.0,0.0,0.0,0.0,0.0,329.4871794871795,25700.0,78.0,No
PRV51288,3.3333333333333335,5.0,2.0,12333.333333333334,37000.0,3.0,72.0,360.0,5.0,No
PRV51289,0.0,0.0,0.0,0.0,0.0,0.0,503.2608695652174,46300.0,92.0,No
PRV51290,0.0,0.0,0.0,0.0,0.0,0.0,132.65486725663717,14990.0,113.0,No
PRV51292,0.0,0.0,0.0,0.0,0.0,0.0,180.45454545454547,3970.0,22.0,No
PRV51293,0.0,0.0,0.0,0.0,0.0,0.0,240.9090909090909,21200.0,88.0,No
PRV51295,0.0,0.0,0.0,0.0,0.0,0.0,278.57142857142856,1950.0,7.0,No
PRV51296,11.666666666666666,25.0,4.0,11000.0,33000.0,3.0,208.5185185185185,5630.0,27.0,No
PRV51297,2.6,4.0,1.0,10200.0,51000.0,5.0,401.38461538461536,26090.0,65.0,No
PRV51298,0.0,0.0,0.0,0.0,0.0,0.0,311.2,31120.0,100.0,No
PRV51299,0.0,0.0,0.0,0.0,0.0,0.0,168.3783783783784,6230.0,37.0,No
PRV51300,3.5714285714285716,9.0,0.0,13285.714285714286,93000.0,7.0,323.1111111111111,14540.0,45.0,No
PRV51301,9.666666666666666,28.0,2.0,18000.0,108000.0,6.0,272.7358490566038,28910.0,106.0,No
PRV51302,3.9,7.0,2.0,7600.0,76000.0,10.0,142.72727272727272,4710.0,33.0,No
PRV51303,0.0,0.0,0.0,0.0,0.0,0.0,388.2795698924731,36110.0,93.0,No
PRV51304,4.0,7.0,1.0,14000.0,28000.0,2.0,231.6326530612245,11350.0,49.0,No
PRV51305,6.2727272727272725,20.0,1.0,8909.09090909091,98000.0,11.0,405.2631578947368,15400.0,38.0,No
PRV51306,0.0,0.0,0.0,0.0,0.0,0.0,217.64705882352942,3700.0,17.0,No
PRV51307,0.0,0.0,0.0,0.0,0.0,0.0,187.56756756756758,6940.0,37.0,No
PRV51308,0.0,0.0,0.0,0.0,0.0,0.0,394.0,13790.0,35.0,No
PRV51309,0.0,0.0,0.0,0.0,0.0,0.0,210.55555555555554,3790.0,18.0,No
PRV51311,4.0,5.0,3.0,4333.333333333333,13000.0,3.0,167.22222222222223,3010.0,18.0,No
PRV51312,4.25,9.0,1.0,4750.0,19000.0,4.0,233.0952380952381,9790.0,42.0,No
PRV51313,0.0,0.0,0.0,0.0,0.0,0.0,261.57894736842104,4970.0,19.0,No
PRV51314,0.0,0.0,0.0,0.0,0.0,0.0,215.33333333333334,6460.0,30.0,No
PRV51315,0.0,0.0,0.0,0.0,0.0,0.0,153.40425531914894,7210.0,47.0,No
PRV51316,9.333333333333334,19.0,2.0,7000.0,21000.0,3.0,0.0,0.0,0.0,No
PRV51318,3.6666666666666665,6.0,1.0,4333.333333333333,13000.0,3.0,0.0,0.0,0.0,No
PRV51322,0.0,0.0,0.0,0.0,0.0,0.0,70.83333333333333,850.0,12.0,No
PRV51323,0.0,0.0,0.0,0.0,0.0,0.0,274.4736842105263,20860.0,76.0,No
PRV51324,0.0,0.0,0.0,0.0,0.0,0.0,333.2142857142857,9330.0,28.0,No
PRV51325,0.0,0.0,0.0,0.0,0.0,0.0,1009.3333333333334,15140.0,15.0,No
PRV51326,0.0,0.0,0.0,0.0,0.0,0.0,318.1818181818182,14000.0,44.0,No
PRV51327,0.0,0.0,0.0,0.0,0.0,0.0,219.26829268292684,8990.0,41.0,No
PRV51328,0.0,0.0,0.0,0.0,0.0,0.0,78.57142857142857,550.0,7.0,No
PRV51329,0.0,0.0,0.0,0.0,0.0,0.0,261.6216216216216,19360.0,74.0,No
PRV51330,0.0,0.0,0.0,0.0,0.0,0.0,200.52631578947367,3810.0,19.0,No
PRV51331,0.0,0.0,0.0,0.0,0.0,0.0,64.0,320.0,5.0,No
PRV51334,4.5,6.0,3.0,7500.0,15000.0,2.0,0.0,0.0,0.0,No
PRV51335,0.0,0.0,0.0,0.0,0.0,0.0,324.50704225352115,46080.0,142.0,No
PRV51336,5.9,17.0,1.0,11600.0,116000.0,10.0,227.96610169491527,13450.0,59.0,No
PRV51337,5.075,35.0,1.0,8750.0,350000.0,40.0,227.34375,29100.0,128.0,Yes
PRV51338,5.428571428571429,21.0,1.0,10428.57142857143,73000.0,7.0,337.68595041322317,40860.0,121.0,Yes
PRV51340,0.0,0.0,0.0,0.0,0.0,0.0,286.158940397351,43210.0,151.0,No
PRV51341,0.0,0.0,0.0,0.0,0.0,0.0,204.64788732394365,14530.0,71.0,No
PRV51342,6.178571428571429,20.0,1.0,11392.857142857143,319000.0,28.0,211.0614525139665,37780.0,179.0,No
PRV51344,6.0,8.0,4.0,9500.0,19000.0,2.0,233.8709677419355,7250.0,31.0,No
PRV51345,0.0,0.0,0.0,0.0,0.0,0.0,308.57142857142856,15120.0,49.0,No
